"id","desc","createdAt","updatedAt"
1,BEER,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
2,OTHER/UNKNOWN,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
3,COCKTAIL,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
4,COCOA,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
5,COFFEE / TEA,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
6,PUNCH / PARTY DRINK,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
7,HOMEMADE LIQUEUR,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
8,ORDINARY DRINK,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
9,SHAKE,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
10,SHOT,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
11,SOFT DRINK,2022-05-01 16:16:56.670,2022-05-01 16:16:56.670
